Glossary	Glossary (用語集)
Terminology is important, so that all Hyperledger Fabric users and developers agree on what we mean by each specific term.	すべてのHyperledger Fabricユーザーと開発者が、それぞれの特定の用語が何を意味するかについて合意できるためには、用語集が重要です。
What is a smart contract for example.	例えば、スマートコントラクトとは何でしょうか。
The documentation will reference the glossary as needed, but feel free to read the entire thing in one sitting if you like; it's pretty enlightening!	本ドキュメントは必要に応じてこの用語集を参照しますが、もしよろしければ全体に目を通してみてください。とても勉強になるでしょう。
Anchor Peer	Anchor Peer (アンカーピア)
Used by gossip to make sure peers in different organizations know about each other.	アンカーピアは、異なる組織に属するピアが互いを知るためにゴシッププロトコルによって利用されます。
When a configuration block that contains an update to the anchor peers is committed, peers reach out to the anchor peers and learn from them about all of the peers known to the anchor peer(s).	アンカーピアの更新を含むコンフィギュレーションブロックがコミットされたとき、各ピアは新しいアンカーピアにアクセスし、アンカーピアが認識している全てのピアについて学習します。
Once at least one peer from each organization has contacted an anchor peer, the anchor peer learns about every peer in the channel.	各組織から少なくとも1つ以上のピアがアンカーピアにコンタクトを取ると、そのアンカーピアはそのチャネル内の全てのピアについて学習します。
Since gossip communication is constant, and because peers always ask to be told about the existence of any peer they don't know about, a common view of membership can be established for a channel.	ゴシップのコミュニケーションは定常的に行われ、ピアは常に自分が知らないピアの存在を通知するよう要求しているため、あるチャネルの所属メンバーについて共通認識を確立できます。
For example, let's assume we have three organizations --- ``A``, ``B``, ``C`` --- in the channel and a single anchor peer --- ``peer0.orgC`` --- defined for organization ``C``.	たとえば、あるチャネルに ``A`` と ``B`` と ``C`` の3つの組織があり、組織 ``C`` のアンカーピアとして ``peer0.orgC`` が定義されているとします。
When ``peer1.orgA`` (from organization ``A``) contacts ``peer0.orgC``, it will tell ``peer0.orgC`` about ``peer0.orgA``.	組織 ``A`` に属する ``peer1.orgA`` が ``peer0.orgC`` にコンタクトを取った時、``peer0.orgC`` に ``peer0.orgA`` に関して教えるでしょう。
And when at a later time ``peer1.orgB`` contacts ``peer0.orgC``, the latter would tell the former about ``peer0.orgB``.	そして、その後 ``peer1.orgB`` が ``peer0.orgC`` にコンタクトを取った時、``peer0.orgC`` が ``peer1.orgB`` に ``peer0.orgA`` について知らせます。
From that point forward, organizations ``A`` and ``B`` would start exchanging membership information directly without any assistance from ``peer0.orgC``.	これ以降、組織 ``A`` と ``B`` はメンバーシップ情報を ``peer0.orgC`` を介さず直接交換するようになります。
As communication across organizations depends on gossip in order to work, there must be at least one anchor peer defined in the channel configuration.	組織間の通信はゴシップに依存しているため、チャネル設定には少なくとも1つのアンカーピアが定義されている必要があります。
It is strongly recommended that every organization provides its own set of anchor peers for high availability and redundancy.	高可用性と冗長性のために、すべての組織がアンカーピアのセットを提供することを強くお勧めします。
ACL	ACL (アクセス制御リスト)
An ACL, or Access Control List, associates access to specific peer resources (such as system chaincode APIs or event services) to a Policy_(which specifies how many and what types of organizations or roles are required).	ACL (アクセス制御リスト) は、特定のピアのリソース (例えばシステムチェーンコードの API やイベントサービス) へのアクセスを、:ref:`ポリシー <Policy>` (どのタイプの組織あるいはロールがいくつ必要か指定するもの) に関連付けるものです。
The ACL is part of a channel's configuration.	ACLはチャネルの設定の一部です。
It is therefore persisted in the channel's configuration blocks, and can be updated using the standard configuration update mechanism.	そのため、チャネルのコンフィギュレーションブロックに保存され、更新は通常のチャネルのコンフィギュレーションブロックの更新メカニズムを通して行います。
An ACL is formatted as a list of key-value pairs, where the key identifies the resource whose access we wish to control, and the value identifies the channel policy (group) that is allowed to access it.	ACLはキーと値のペアのリストとしてフォーマットされ、そこではキーがアクセス制御したいリソースを特定し、値はそのリソースへのアクセスが許可されたグループを指定するチャネルポリシーを特定します。
For example ``lscc/GetDeploymentSpec: /Channel/Application/Readers`` defines that the access to the life cycle chaincode ``GetDeploymentSpec`` API (the resource) is accessible by identities which satisfy the ``/Channel/Application/Readers`` policy.	たとえば ``lscc/GetDeploymentSpec: /Channel/Application/Readers`` はライフサイクルチェーンコードの API ``GetDeploymentSpec`` が、ポリシー ``/Channel/Application/Readers`` を満たす主体からアクセス可能であることを定義します。
A set of default ACLs is provided in the ``configtx.yaml`` file which is used by configtxgen to build channel configurations.	デフォルトのACL設定はファイル ``configtx.yaml`` により与えられ、このファイルは configtxgen がチャネル設定をビルドするために使用されます。
The defaults can be set in the top level "Application" section of ``configtx.yaml`` or overridden on a per profile basis in the "Profiles" section.	このデフォルト設定は、``configtx.yaml`` の "Application" セクションのトップレベルで指定するか、"Profile" セクションでプロファイルごとに上書きして指定できます。
Block	Block (ブロック)
Block B1 is linked to block B0. Block B2 is linked to block B1.	ブロック B1 はブロック B0 にリンクされ、ブロック B2 はブロック B1 にリンクされています。
A block contains an ordered set of transactions. It is cryptographically linked to the preceding block, and in turn it is linked to be subsequent blocks.	ブロックは順序付けられたトランザクションのセットを含んでいます。ブロックは暗号論的に前のブロックにリンクされ、そのブロック自身も後続のブロックによってリンクされる。
The first block in such a chain of blocks is called the genesis block.	一連のブロックチェーンの最初のブロックはジェネシスブロック (genesis block)と呼ばれます。
Blocks are created by the ordering service, and then validated and committed by peers.	ブロックはオーダリングサービスによって生成され、ピアによって検証およびコミットされます。
Chain	Chain (チェーン)
Blockchain B contains blocks 0, 1, 2.	ブロックチェーン B にはブロック 0, 1, 2 を含みます。
The ledger's chain is a transaction log structured as hash-linked blocks of transactions.	台帳のチェーンはトランザクションのログで、複数のトランザクションをまとめたブロックをハッシュチェーンでリンクした構造をしています。
Peers receive blocks of transactions from the ordering service, mark the block's transactions as valid or invalid based on endorsement policies and concurrency violations, and append the block to the hash chain on the peer's file system.	ピアはオーダリングサービスからブロックを受け取ると、エンドースメントポリシーと同時実行違反の有無に基づき各トランザクションが正当かどうかをマークした上で、ピアのファイルシステム上のハッシュチェーンに追加します。
Chaincode	Chaincode (チェーンコード)
See Smart-Contract.	詳細についてはスマートコントラクトを参照。
Channel	Channel (チャネル)
Channel C connects application A1, peer P2 and ordering service O1.	チャネル C はアプリケーション A1、ピア P2、およびオーダリングサービス O1 に接続しています。
A channel is a private blockchain overlay which allows for data isolation and confidentiality.	チャネルとは、データの分離と機密性を実現するためにプライベートブロックチェーンのオーバーレイです。
A channel-specific ledger is shared across the peers in the channel, and transacting parties must be authenticated to a channel in order to interact with it.	チャネル固有の台帳はそのチャネルに属するピアの間で共有され、トランザクションを実行する関係者はチャネルとやりとりするためにチャネルに対して認証される必要があります。
Channels are defined by a Configuration-Block.	チャネルはコンフィギュレーションブロックで定義されています。
Commit	Commit (コミット)
Each Peer_ on a channel validates ordered blocks of transactions and then commits (writes/appends) the blocks to its replica of the channel Ledger_.	あるチャネル上の各ピア (Peer_) は、順序付けられたトランザクションのブロックを検証し、そのブロックをそのチャネルの台帳 (Ledger_) の複製にコミットします。
Peers also mark each transaction in each block as valid or invalid.	ピアは各ブロック内の各トランザクションに対して正当かどうかをマークします。
Concurrency Control Version Check	Concurrency Control Version Check (同時処理制御バージョンチェック)
Concurrency Control Version Check is a method of keeping ledger state in sync across peers on a channel.	同時処理制御バージョンチェックは、チャネル上のピア間で台帳の状態を同期させる方法です。
Peers execute transactions in parallel, and before committing to the ledger, peers check whether the state read at the time the transaction was executed has been modified.	ピアはトランザクションを並列に実行し、台帳にコミットする前に、トランザクションが実行されたときに読み込まれた状態が変更されているかどうかを確認します。
If the data read for the transaction has changed between execution time and commit time, then a Concurrency Control Version Check violation has occurred, and the transaction is marked as invalid on the ledger and values are not updated in the state database.	そのトランザクションのために読み込まれたデータが実行時とコミット時の間で変更された場合、同時実行制御バージョンチェックの違反が発生し、トランザクションは台帳上で無効とマークされ、ステートデータベース中の値は更新されません。
Configuration Block	Configuration Block (コンフィギュレーションブロック)
Contains the configuration data defining members and policies for a system chain (ordering service) or channel.	コンフィギュレーションブロックはシステムチェーン (オーダリングサービス) あるいはチャネルのメンバーやポリシーを定義する設定データを含んでいます。
Any configuration modifications to a channel or overall network (e.g. a member leaving or joining) will result in a new configuration block being appended to the appropriate chain.	チャネルまたはネットワーク全体に対する設定の変更 (たとえばメンバーの削除、追加など) があると、新しいコンフィギュレーションブロックが適切なチェーンに追加されることになります。
This block will contain the contents of the genesis block, plus the delta.	このブロックには、ジェネシスブロックの内容と、そこからの差分の情報が含まれています。
Consensus	Consensus (合意形成)
A broader term overarching the entire transactional flow, which serves to generate an agreement on the order and to confirm the correctness of the set of transactions constituting a block.	トランザクションフロー全体を包括するより広い用語で、トランザクションの実行順序に関する合意を生成して、ブロックを構成するトランザクションセットの正確さを確認するために行われるプロセスを指しています。
Consenter set	Consenter set (同意者セット)
In a Raft ordering service, these are the ordering nodes actively participating in the consensus mechanism on a channel.	同意者セットは、Raftオーダリングサービスにおいて、チャネル上の合意形成機構に参加しているアクティブなオーダリングノードを指しています。
If other ordering nodes exist on the system channel, but are not a part of a channel, they are not part of that channel's consenter set.	システムチャネルに存在していても、あるチャネルの一部でないオーダリングノードは、そのチャネルにおいては同意者セットの一員ではありません。
Consortium	Consortium (コンソーシアム)
A consortium is a collection of non-orderer organizations on the blockchain network.	コンソーシアムは、ブロックチェーンネットワーク上のorderer組織を除く組織の集合です。
These are the organizations that form and join channels and that own peers.	これらは、チャネルを形成するとともにチャネルに参加しており、ピアを所有する組織です。
While a blockchain network can have multiple consortia, most blockchain networks have a single consortium.	一つのブロックチェーンネットワークは複数のコンソーシアムを持つことができますが、ほとんどのブロックチェーンネットワークは単一のコンソーシアムを持っています。
At channel creation time, all organizations added to the channel must be part of a consortium.	チャネルの作成時に、チャネルに追加されるすべての組織は一つのコンソーシアムの一員である必要があります。
However, an organization that is not defined in a consortium may be added to an existing channel.	ただし、コンソーシアム内で定義されていない組織も、既存のチャネルに追加することができます。
Chaincode definition	Chaincode definition (チェーンコード定義)
A chaincode definition is used by organizations to agree on the parameters of a chaincode before it can be used on a channel.	チェーンコード定義は、チェーンコードがあるチャネル上で利用可能になる前にチェーンコードのパラメータについて組織間で合意するために使用されます。
Each channel member that wants to use the chaincode to endorse transactions or query the ledger needs to approve a chaincode definition for their organization.	そのチェーンコードを使ってトランザクションの承認、あるいは台帳のクエリを行いたいチャネルの各メンバーは、その組織に対するチェーンコード定義を承認する必要があります。
Once enough channel members have approved a chaincode definition to meet the Lifecycle Endorsement policy (which is set to a majority of organizations in the channel by default), the chaincode definition can be committed to the channel.	チャネルのメンバーからチェーンコード定義の承認が十分な数得られ、ライフサイクルエンドースメントポリシー (デフォルトではチャネルに属する組織の過半数) を満たすと、チェーンコード定義をチャネルにコミットできます。
After the definition is committed, the first invoke of the chaincode (or, if requested, the execution of the Init function) will start the chaincode on the channel.	チェーンコード定義がコミットされた後は、チェーンコードの最初の呼び出し時 (あるいは要求された場合は Init 関数の実行時) にチャネル上のチェーンコードが開始します。
Dynamic Membership	Dynamic Membership (動的メンバーシップ)
Hyperledger Fabric supports the addition/removal of members, peers, and ordering service nodes, without compromising the operationality of the overall network.	Hyperledger Fabricは、ネットワーク全体の運用性を損なうことなく、メンバー、ピア、およびオーダリングサービスノードの追加・削除をサポートします。
Dynamic membership is critical when business relationships adjust and entities need to be added/removed for various reasons.	動的メンバーシップは、ビジネス関係を調整し、さまざまな理由でエンティティを追加または削除する必要がある場合に重要です。
Endorsement	Endorsement (エンドースメント)
Refers to the process where specific peer nodes execute a chaincode transaction and return a proposal response to the client application.	エンドースメントは、特定のピアノードがチェーンコードトランザクションを実行し、提案応答をクライアントアプリケーションに返すプロセスを指します。
The proposal response includes the chaincode execution response message, results (read set and write set), and events, as well as a signature to serve as proof of the peer's chaincode execution.	提案応答には、チェーンコード実行応答メッセージ、結果 (読み込みセットおよび書き込みセット)、イベント、およびピアのチェーンコード実行の証明となる署名が含まれます。
Chaincode applications have corresponding endorsement policies, in which the endorsing peers are specified.	チェーンコードアプリケーションには対応するエンドースメントポリシーがあり、そこではエンドースできるピアが指定されています。
Endorsement policy	Endorsement policy (エンドースメントポリシー)
Defines the peer nodes on a channel that must execute transactions attached to a specific chaincode application, and the required combination of responses (endorsements).	エンドースメントポリシーは特定のチェーンコードアプリケーションに紐付けられたトランザクションを実行しなければならないチャネル上のピアノードと、必要な提案応答 (エンドースメント) の組み合わせを定義します。
A policy could require that a transaction be endorsed by a minimum number of endorsing peers, a minimum percentage of endorsing peers, or by all endorsing peers that are assigned to a specific chaincode application.	ポリシーは、あるチェーンコードをエンドースできるピアの中から、ピアの数、ピアの割合、あるいは全てのピアといった形で、トランザクションに対して必要となるエンドースメントを定義することができます。
Policies can be curated based on the application and the desired level of resilience against misbehavior (deliberate or not) by the endorsing peers.	ポリシーはアプリケーションと、エンドーシングピアの不正行為 (意図的であるかに関わない) に対する望ましいレベルの回復力に基づいて決められます。
A transaction that is submitted must satisfy the endorsement policy before being marked as valid by committing peers.	送信されたトランザクションは、コミットピアにより正当とマークされる前に、エンドースメントポリシーを満たさなければなりません。
Follower	Follower (フォロワ)
In a leader based consensus protocol, such as Raft, these are the nodes which replicate log entries produced by the leader.	Raftのようなリーダーベースの合意プロトコルにおいて、フォロワはリーダーによって生成されたログエントリを複製するノードのことを意味します。
In Raft, the followers also receive "heartbeat" messages from the leader.	Raftでは、フォロワはリーダーから「ハートビート」メッセージも受け取ります。
In the event that the leader stops sending those message for a configurable amount of time, the followers will initiate a leader election and one of them will be elected leader.	リーダーが設定可能な期間これらのメッセージを送信しなかった場合、フォロワはリーダー選出を開始し、フォロワの中の一つがリーダーとして選出されます。
Genesis Block	Genesis Block (ジェネシスブロック)
The configuration block that initializes the ordering service, or serves as the first block on a chain.	ジェネシスブロックはオーダリングサービスを初期化する、またはチェーンの最初のブロックとして機能するコンフィギュレーションブロックのことを意味します。
Gossip Protocol	Gossip Protocol (ゴシッププロトコル)
The gossip data dissemination protocol performs three functions:	ゴシッププロトコル (データ配布プロトコル) は以下の3つの機能を実行します。
1) manages peer discovery and channel membership;	1. ピアディスカバリとチャネルメンバーシップを管理する
2) disseminates ledger data across all peers on the channel;	2. チャネル上のすべてのピアに台帳データを配布する
3) syncs ledger state across all peers on the channel.	3. チャネル上のすべてのピアの状態を同期させる
Refer to the Gossip topic for more details.	ゴシップの詳細についてはGossipを参照してください。
Hyperledger Fabric CA is the default Certificate Authority component, which issues PKI-based certificates to network member organizations and their users.	Hyperledger Fabric CAは、PKIベースの証明書をネットワークメンバー組織とそのユーザーに対して発行するデフォルトの認証局コンポーネントです。
The CA issues one root certificate (rootCert) to each member and one enrollment certificate (ECert) to each authorized user.	CAは、各メンバーに対して一つのルート証明書 (rootCert) を発行し、許可された各ユーザーに対して一つの登録証明書 (ECert) を発行します。
A method to initialize a chaincode application.	Initはチェーンコードアプリケーションを初期化するメソッドです。
All chaincodes need to have an an Init function.	すべてのチェーンコードはInit関数が必要です。
By default, this function is never executed.	デフォルトでは、この関数は実行されません。
However you can use the chaincode definition to request the execution of the Init function in order to initialize the chaincode.	しかし、チェーンコード定義を使用すると、チェーンコードを初期化するためにInit関数の実行を要求できます。
The process of placing a chaincode on a peer's file system.	Installはピアのファイルシステムにチェーンコードを配置する処理です。
The process of starting and initializing a chaincode application on a specific channel.	Instantiateは特定のチャネルでチェーンコードアプリケーションを開始および初期化する処理です。
After instantiation, peers that have the chaincode installed can accept chaincode invocations.	インスタンス化の後、チェーンコードがインストールされているピアはチェーンコードの関数呼び出し (Invoke) を受け入れることができます。
NOTE: *This method i.e. Instantiate was used in the 1.4.x and older versions of the chaincode lifecycle.	注: *この処理 (Instantiate) は、1.4.x以前のバージョンのチェーンコードライフサイクルにおいて使用されていました。
For the current procedure used to start a chaincode on a channel with the new Fabric chaincode lifecycle introduced as part of Fabric v2.0, see Chaincode-definition_.*	Fabric v2.0に導入された新しいFabricチェーンコードライフサイクルを用いたチャネルでチェーンコードを開始する手順については、* :ref:`チェーンコード定義<Chaincode-definition>` *を参照してください。*
Used to call chaincode functions.	Invokeは、チェーンコード関数を呼び出すために使用します。
A client application invokes chaincode by sending a transaction proposal to a peer.	クライアントアプリケーションは、ピアにトランザクション提案を送信することによってチェーンコードを呼び出します。
The peer will execute the chaincode and return an endorsed proposal response to the client application.	ピアはチェーンコードを実行し、エンドースされた提案応答をクライアントアプリケーションに返します。
The client application will gather enough proposal responses to satisfy an endorsement policy, and will then submit the transaction results for ordering, validation, and commit.	クライアントアプリケーションは、エンドースメントポリシーを満たすために十分な提案応答を収集した後、順序付け、検証、およびコミットのためにトランザクション結果を送信します。
The client application may choose not to submit the transaction results.	クライアントアプリケーションは、トランザクション結果を送信しないという選択もできます。
For example if the invoke only queried the ledger, the client application typically would not submit the read-only transaction, unless there is desire to log the read on the ledger for audit purpose.	たとえば、Invokeが台帳のクエリのみ行う場合、監査目的で台帳に読み込みを記録したいということがないならば、クライアントアプリケーションは通常、読み込み専用トランザクションを発行しません。
The invoke includes a channel identifier, the chaincode function to invoke, and an array of arguments.	Invokeの呼び出しには、チャネル識別子、呼び出すチェーンコード関数名、および引数の配列が渡されます。
Leader	Leader (リーダー)
In a leader based consensus protocol, like Raft, the leader is responsible for ingesting new log entries, replicating them to follower ordering nodes, and managing when an entry is considered committed.	Raftのようなリーダーベースの合意プロトコルにおいて、リーダーは新しいログエントリの取り込み、それらのフォロワのオーダリングノードへの複製、およびエントリがコミットされたと見なされるタイミングの管理、の責任を担っています。
This is not a special type of orderer.	リーダーはordererの特別な タイプ を表すものではありません。
It is only a role that an orderer may have at certain times, and then not others, as circumstances determine.	リーダーはあるordererが環境によって決まる特定の期間だけ担っている役割です。
Leading Peer	Leading Peer (リーダーピア)
Each Organization_ can own multiple peers on each channel that they subscribe to.	各 :ref:`組織<organization>` は、加入している各チャネルに対して複数のピアを所有できます。
One or more of these peers should serve as the leading peer for the channel, in order to communicate with the network ordering service on behalf of the organization.	これらのピアのうち1つ以上は、組織を代表してネットワークオーダリングサービスと通信するために、チャネルのリーダーピアとして動作する必要があります。
The ordering service delivers blocks to the leading peer(s) on a channel, who then distribute them to other peers within the same organization.	オーダリングサービスは、チャネル上のリーダーピアにブロックを配信し、リーダーピアは同じ組織内の他のピアにブロックを配信します
Ledger	Ledger (台帳)
A ledger consists of two distinct, though related, parts -- a "blockchain" and the "state database", also known as "world state".	台帳は、2つの (関連はあるものの) 異なる部分で構成されています。「ブロックチェーン」と「ステートデータベース」 (「ワールドステート」とも呼ばれます) です。
Unlike other ledgers, blockchains are immutable -- that is, once a block has been added to the chain, it cannot be changed.	他の台帳とは異なり、ブロックチェーンは イミュータブル です。つまり、一度ブロックがチェーンに追加されたら、そのブロックは変更できません。
In contrast, the "world state" is a database containing the current value of the set of key-value pairs that have been added, modified or deleted by the set of validated and committed transactions in the blockchain.	対照的に、「ワールドステート」はキーと値のペアのセットの現在の値を含むデータベースで、ブロックチェーン内の検証済みトランザクションとコミット済みトランザクションのセットによって追加、変更、または削除されたものです。
It's helpful to think of there being one logical ledger for each channel in the network.	ネットワーク内の各チャネルに対して一つの 論理的な 台帳があると考えるとわかりやすいでしょう。
In reality, each peer in a channel maintains its own copy of the ledger -- which is kept consistent with every other peer's copy through a process called consensus.	実際は、チャネル上の各ピアが台帳のコピーを維持しており、各コピーは 合意形成 と呼ばれるプロセスを経て一貫性が保たれています。
The term Distributed Ledger Technology (DLT) is often associated with this kind of ledger -- one that is logically singular, but has many identical copies distributed across a set of network nodes (peers and the ordering service).	分散台帳技術 (Distributed Ledger Technology: DLT) という言葉は、論理的には単一ですが、そのコピーをネットワークノード(ピアやオーダリングサービス)に分散させているような台帳によく関連付けられます。
Log entry	Log entry (ログエントリ)
The primary unit of work in a Raft ordering service, log entries are distributed from the leader orderer to the followers.	ログエントリはRaftオーダリングサービスの作業の基本単位で、リーダーのordererからフォロワに配布されます。
The full sequence of such entries known as the "log".	そのようなログエントリの完全なシーケンスのことを「ログ」と呼びます。
The log is considered to be consistent if all members agree on the entries and their order.	ログは、すべてのメンバーがエントリとその順序について同意する場合、一貫していると見なされます。
Member 	Member (メンバー)
See Organization_.	:ref:`組織<Organization>` を参照してください。
Membership Service Provider	Membership Service Provider (メンバーシップサービスプロバイダ)
An MSP, 'ORG.MSP'	ORG.MSPというMSP
The Membership Service Provider (MSP) refers to an abstract component of the system that provides credentials to clients, and peers for them to participate in a Hyperledger Fabric network.	Membership Service Provider (MSP; メンバーシップサービスプロバイダ)は、クライアントやピアに資格情報を提供してHyperledger Fabricのネットワークに参加できるようにするためのシステムの抽象コンポーネントを指しています。
Clients use these credentials to authenticate their transactions, and peers use these credentials to authenticate transaction processing results (endorsements).	クライアントはこれらの資格情報を使用してトランザクションを認証し、ピアはこれらの資格情報を使用してトランザクションの処理結果 (エンドースメント) を認証します。
While strongly connected to the transaction processing components of the systems, this interface aims to have membership services components defined, in such a way that alternate implementations of this can be smoothly plugged in without modifying the core of transaction processing components of the system.	このインターフェースは、システムのトランザクション処理コンポーネントに強く結び付けられている一方で、メンバーシップサービスのコンポーネントを、異なる実装のものをスムーズに (システムのトランザクション処理コンポーネントのコアを変更することなく) プラグインできるよう定義する狙いがあります。
Membership Services	Membership Services (メンバーシップサービス)
Membership Services authenticates, authorizes, and manages identities on a permissioned blockchain network.	メンバーシップサービスは、許可型ブロックチェーンネットワーク上のアイデンティティを認証、認可、管理します。
The membership services code that runs in peers and orderers both authenticates and authorizes blockchain operations.	メンバーシップサービスのコードはピアおよびorderer上で実行され、ブロックチェーン操作の認証と認可の両方を行います。
It is a PKI-based implementation of the Membership Services Provider (MSP) abstraction.	メンバーシップサービスはMSPをPKIベースで実装したものです。
Ordering Service	Ordering Service (オーダリングサービス)
