Blockchain and Distributed Ledger Technology	ブロックチェーンと分散台帳テクノロジー
By the end of this chapter, you should be able to:	本章の終わりまでに、次のことができるようになります。
Understand what centralized, distributed, and decentralized network architectures are.	中央集権型、分散型、および非中央集権型ネットワーク アーキテクチャについて理解する。
​Discuss the problems that blockchain was designed to solve.	ブロックチェーンが解決するように設計された問題について説明する。
Explain differences between permissioned and permissionless blockchains.	パーミッションド ブロックチェーンとパーミッションレス ブロックチェーンの違いを説明する。
Understand why Hyperledger Fabric was developed.	Hyperledger Fabricが開発された理由を理解する。
Throughout history, no matter how powerful computers have become, there was always the need to harness the power of multiple computational machines; this pattern grew exponentially with the advancement of the Internet.	歴史を通して、コンピューターがどんなに強力になっても、いつも複数の計算機の力を利用する必要性がありました。このパターンはインターネットの進歩とともに飛躍的に成長しました。
In fact, in the modern interconnected world, these computational machines are also spread and distributed across large geographic areas.	事実、現代の相互につながった世界では、これらの計算機が広い地理的領域にまたがって分散されています。
In the early days of computing, there was a model of a main, central computer where every other end-node (or client) was connected to it.	コンピューター使用の初期には、メインの中央コンピューターに他のすべてのエンドノード（またはクライアント）が接続されているモデルがありました。
Today, the world (and the Internet) has shifted to architectures and systems that involve many loosely-coupled components.	今日、世界（およびインターネット）は、疎結合コンポーネントを多数含むアーキテクチャとシステムに移行しました。
Such architectures vary in levels of performance (speed, throughput), reliability, and, of course, costs.	そのようなアーキテクチャは、パフォーマンス（速度、スループット）、信頼性、そしてもちろんコスト面でもさまざまなレベルがあります。
Before we take a closer look at blockchain technologies and distributed ledger technology (DLT), let's first review the three main types of system architectures and design:	ブロックチェーン テクノロジーと分散台帳技術（DLT）の詳細を説明する前に、まず3つのおもな種類のシステム アーキテクチャと設計について説明しましょう。
Centralized	中央集権型
Distributed	分散型
Decentralized.	非中央集権型
In August 1964, a Polish-American researcher named Paul Baran published a memorandum entitled "On Distributed Communications: Introduction to Communication Networks", where he compared distributed communications networks to hierarchical or more centralized systems.	1964年8月、Paul Baranという名前のポーランド系アメリカ人研究者が「分散型通信について：通信ネットワーク入門」と題する覚書を発表し、その中で、分散型通信ネットワークと階層型システムや中央集権型システムとを比較しました。
If we follow the same terminology, where a node represents an end-point (be it a user, device or a computer) and a network is a collection of interlinked nodes that exchange information, we can categorize networks based on their topology:	ノードとはエンドポイント（ユーザー、デバイス、コンピューターなど）を表すもので、ネットワークとは情報を交換する相互連結されたノードの集まりを表すものだと解釈すると、ネットワークは以下のように分類できます。
Centralized networks	中央集権型ネットワーク
Distributed networks	分散型ネットワーク
Decentralized networks.​	非中央集権型ネットワーク
The centralized network architecture can be described as a star or a client-server architecture, with a central server to which all nodes are connected.	中央集権型ネットワーク アーキテクチャは、すべてのノードが接続されている中央サーバーを備えた、スター型またはクライアント－サーバー型アーキテクチャとして説明できます。
All nodes (clients) send their data to one central node, the server, which then processes and/or sends the data back or relays the data to other nodes in the network.	すべてのノード（クライアント）はそれらのデータを１つの中央ノードであるサーバーに送信し、サーバーはそれからそのデータを処理・送信するか、またはそのデータをネットワーク内の他のノードに中継します。
The main advantage of a centralized network is that it can be easily upgraded and maintained, as only one party needs to be involved in the operation, controlling the centralized server.	中央集権型ネットワークのおもな利点は、一人で中央集権型サーバーの制御や操作ができるので、簡単にアップグレードおよび保守が可能なことです。
However, there are many issues with a centralized architecture.	しかし、中央集権型アーキテクチャには多くの問題があります。
It relies on a single node, which, effectively, is a point of failure.	中央集権型アーキテクチャは単一ノードに依存していますが、この点が事実上の障害と言えます。
For example, if the server fails, the whole system fails.	たとえば、サーバーに障害が発生した場合、システム全体に障害が生じます。
A centralized architecture also relies on a single point of trust; if that single point of trust is compromised, the entire system is compromised.	中央集権型アーキテクチャは、単一信頼点にも依存していますから、その単一信頼点が危険にさらされると、システム全体が危険にさらされます。
In the context of connectivity, if the server is destroyed (thinking about a military setup), the nodes lose their connections to the server and cannot communicate between each other without that server.​	接続性の面では、サーバーが破壊された場合（軍事施設を想定）、ノードはサーバーへの接続を失い、そのサーバーなしでは互いに通信できません。
Another major concern is that, in general, there is less visibility into how the server is operating, there is less built-in validation regarding the correctness, fairness, and integrity of the server and/or the service provided.​ The server is a central point of trust.	もう1つの大きな懸念は、一般に、サーバーの動作状況に対する可視性が低いこと、サーバーおよび/または提供されるサービスの正確性、公平性、および完全性に関する組み込み検証が少ないことです。サーバーは信頼の中心点になります。
Michael Schroeder (an American computer scientist and the co-inventor of the Needham-Schroeder Protocol) described a distributed system "as several computers doing something together.	Michael Schroeder（アメリカのコンピューター科学者であり、Needham-Schroederプロトコルの共同発明者）は、次のように説明しています。「分散システムはいくつかのコンピューターが一緒に何かをしているようなものです。
Thus, a distributed system has three primary characteristics: multiple computers, interconnections, and shared state".	したがって、分散システムには複数のコンピューター、相互接続、および共有状態 という、3つのおもな特徴があります」
A distributed combination of some centralized systems/networks is categorized as a decentralized network.	いくつかの中央集権型システム/ネットワークの分散型組み合わせは、非中央集権型ネットワークとして分類されます。
Such a network is not centralized, as it definitely does not rely on one single server, but is also not necessarily fully distributed, as it can have a few sub-networks that are more "centralized".	このようなネットワークは、単一のサーバーには依存しないため中央集権型ではありませんが、いくつかのサブネットワークがより中央集権型であることもあるので、必ずしも完全に分散型とはいえません。
Overall, there is no one centralized node (server) to which all the other nodes are connected, but at the same time, it is a mix of such star networks that are interconnected.	全体として、他のすべてのノードが接続されている1つの中央集権型ノード（サーバー）はないのですが、同時に、相互接続されているスター型ネットワークが混在しています。
The main upsides of such a network topology is that on one hand, it does not rely on one single and central node, and on the other hand, it does not require as many links between all the other nodes, such as in the distributed network depicted on the previous page.	このようなネットワークトポロジーのおもな利点は、単一の中央ノードに依存しない一方、前のページに説明された分散型ネットワークのように、他のすべてのノード間にそれほど多くのリンクを必要としないことです。
Such decentralized networks can combine benefits of semi-centralized "zones" that may provide somewhat more control, while still eliminating some of the risks that stem from a single point of trust.	そのような非中央集権型ネットワークは、単一の信頼点から生じるリスクのいくつかを排除しながら、いくらかより制御が可能な半中央集権型「ゾーン」の利点を組み合わせることができます。
One of the main risks in decentralized networks is the partitioning of networks into sub-networks if one or more of the semi-central hubs go down.	非中央集権型ネットワークにおけるおもなリスクの1つは、1つ以上の準中央ハブが停止した場合に、ネットワークをサブネットワークに分割してしまうことです。
In these instances, the ordinary nodes of the network only have limited routes with other nodes that pass through the damaged or non-active semi-central hubs.	このような場合、ネットワークの通常のノードは、損傷しているか、または非アクティブ準中央ハブを通過する他のノードとの経路が制限されています。
Centralized vs. Decentralized Solutions	中央集権型ソリューションと非中央集権型ソリューション
Maintenance, Consistency	メンテナンス、一貫性
Centralized systems are considered much easier to maintain.	中央集権型システムは保守がはるかに簡単だと考えられています。
Try to think about an HTML 5 website, as an example - rolling out a new version or an update to the website can be pushed only to the centralized server.	例として、HTML 5 Webサイトについて考えてみてください。新しいバージョンの公開またはWebサイトの更新は、集中管理型サーバーにのみプッシュできます。
The clients, using a browser, will get the updated and upgraded system the next time they refresh and log on.	クライアントは、ブラウザを使用して、次回の更新およびログオン時に更新済みおよびアップグレード済みシステムを入手します。
The consistency and maintenance becomes an issue with decentralized and distributed systems, as multiple copies of compatible software and associated rules have to be running on different semi-central nodes or on nodes where this consistency matters.	互換性のあるソフトウェアおよび関連するルールの複数のコピーを、異なる半中央ノード、または一貫性が問題となるノードで実行しなければならないので、一貫性および保守が非中央集権型および分散型システムでは問題になります。
Upgradability	アップグレード可能性
When there is one centralized service, we have less issues with version-inconsistency.	中央集権型サービスが1つであるとき、バージョン不一致の問題が少なくなります。
Same goes for upgradability (for the server side).	アップグレード可能性についても同じことが言えます（サーバー側の場合）。
We should also mention that even in centralized systems there are issues related to the "client-side": for example, clients running different client versions (think again about the website and browsers example).	また、中央集権型システムでも「クライアント側」に関連する問題があることにも注意しなければいけません。たとえば、異なるクライアント バージョンを実行しているクライアントのような場合です（Webサイトとブラウザの例についてもう一度考えてみてください）。
However, the single server can still require some upgrades from the client side (for example, displaying messages along the lines of "We no longer support Microsoft Internet Explorer version 6.x" or "Please upgrade your Flash version"), and the policy is configured and set on the single, centralized node.	ただし、単一サーバーでもクライアント側からのアップグレードが必要になる場合があり（たとえば、「Microsoft Internet Explorerバージョン6.xはサポートされなくなりました」または「Flashバージョンをアップグレードしてください」というメッセージが表示される場合）、ポリシーは単一の中央集権型ノードで構成および設定されます。
In decentralized and distributed systems, it is a lot harder to push an upgrade to all the nodes.	非中央集権システムや分散システムでは、アップグレードをすべてのノードにプッシュするのははるかに困難です。
It is not just the fact that there are many more nodes that require an upgrade (it is much more than one centralized server); the issue here is also with convincing the node owners or operators to upgrade.	アップグレードを必要とするノードが他にもたくさんあるということだけではありません（1つの中央集権型サーバー以上のものである）。この問題により、ノード所有者またはオペレータがアップグレードいなければいけないと考えるのです。
Especially when we are talking about significant upgrades to the decentralized or distributed network, getting a wide "consensus" around such an upgrade (that may even affect the protocol used, going forward) is a much harder task.	特に、非中央集権型または分散型ネットワークへの大幅なアップグレードを検討するときは、そのようなアップグレードについて幅広い「合意」を得ることのほうが（アップグレードは使用されるプロトコルに影響を与える可能性あるので）難しくなります。
Scalability and Performance	スケーラビリティとパフォーマンス
Scalability can mean different things in this context.	ここでは、スケーラビリティは異なるものを指す可能性があります。
As such, let's talk about two aspects of scalability.	そのため、スケーラビリティの2つの側面について説明しましょう。
