N/V/A/B	Level	English	Japanese	Japanese (2)	Notes		
N	4	abstraction 	抽象化				
N	2	access control list	アクセス制御リスト				
N	2	ACL	ACL				
N	4	actor	アクター				
N	2	administrator	管理者				
N	2	administrator certificate	管理者証明書				
N	1	anchor peer	アンカーピア				
N	4	annotation	アノテーション				
B	3	anonymously	匿名で				
N	3	Anti-Money Laundering	アンチマネーロンダリング				
N	4	API	API				
N	4	application	アプリケーション				
N	1	application capability	アプリケーションケーパビリティ				
N	1	application channel	アプリケーションチャネル				
N	1	approval	承認				
V	1	approve	承認する				
N	4	architect	アーキテクト				
N	3	argument	引数				
N	3	artifact	アーティファクト				
N	3	asset	資産				
N	4	auditable proof	監査可能な証拠				
N	2	authentication	認証				
N	4	backend	バックエンド				
N	4	bearer	ベアラ				
N	4	binary	バイナリ				
N	4	binding	バインディング				
N	2	Bitcoin	Bitcoin				
N	1	block	ブロック				
N	1	block data	ブロックデータ				
N	1	block event	ブロックイベント				
N	1	block header	ブロックヘッダー				
N	1	block height	ブロックの高さ				
N	1	block metadata	ブロックメタデータ				
N	1	blockchain	ブロックチェーン				
N	1	blockchain network	ブロックチェーンネットワーク				
N	3	bootstrapping 	ブートストラップ				
N	3	branch	ブランチ				
N	3	broadcast	ブロードキャスト				
V	3	build	ビルドする	構築する	文脈に依存する		
N	3	business logic	ビジネスロジック				
N	2	business object	ビジネスデータ				
N	2	Byzantine crash fault	ビザンチン故障耐性				
N	1	CA	CA				
N	4	canonical path	正規化パス				
N	1	capability	ケーパビリティ				
A	2	centralized	中央集権的				
N	1	certificate	証明書				
N	1	certificate authority	認証局				
N	1	certificate revocation list	証明書失効リスト				
N	1	certificate signing request	証明書署名要求				
N	1	chain	チェーン				
N	1	chaincode	チェーンコード				
N	1	chaincode definition	チェーンコード定義				
N	1	chaincode endorsement policy	チェーンコードエンドースメントポリシー				
N	1	chaincode function	チェーンコード関数				
N	1	chaincode lifecycle	チェーンコードライフサイクル				
N	1	chaincode to chaincode invocation	チェーンコード間呼び出し				
N	1	channel	チャネル				
N	1	channel configuration	チャネル設定				
N	1	channel identifier	チャネル識別子				
N	4	check and balance	抑制と均衡				
V	3	checkout	チェックアウトする				
N	4	class	クラス				
N	4	client	クライアント				
N	4	client application	クライアントアプリケーション				
N	1	client identity chaincode library	クライアントアイデンティティ・チェーンコードライブラリ				
N	3	clone	クローン				
V	3	clone	クローンする				
N	1	collection configuration	コレクション設定				
N	1	collection definition	コレクション定義				
N	1	collection policy	コレクションポリシー				
N	3	command	コマンド				
N	3	command reference	コマンドリファレンス				
N	2	commercial paper	コマーシャルペーパー				
V	1	commit	コミットする				
N	1	commit	コミット				
N	1	committing peer	コミットピア				
N	3	communication service	コミュニケーションサービス				
N	3	community	コミュニティ				
N	3	component	コンポーネント				
N	1	composite key	コンポジットキー		FabricのAPI名で出てくるため、RDB分野などでよく訳される「複合キー」ではなくコンポジットキーを採用する。		
A	4	compound	複合の				
N	1	concurrency control	同時実行制御				
N	1	Concurrency Control Version Check	同時実行制御バージョンチェック		固有名詞的		
N	1	concurrency violation	同時実行違反				
N	3	confidential data	秘匿したいデータ				
N	1	config transaction	コンフィギュレーショントランザクション		原文では、configurationをconfigと省略される場合があるが、その場合にも一貫性の観点で略さずに「コンフィグレーション」と訳すのがベター。		
N	1	configtxgen	configtxgen				
A	2	configurable	設定可能である				
N	2	configuration	設定		「構成」との表記ゆれを防ぐために、なるべく準拠してもらいたい。		
N	1	configuration block	コンフィギュレーションブロック				
N	1	configuration system chaincode	コンフィギュレーションシステムチェーンコード		CSCCのこと		
N	1	configuration transaction	コンフィギュレーショントランザクション				
V	2	configure	設定する				
N	1	connection option	コネクションオプション				
